account_type,account_name,location,priority_tier,hiring_signal,estimated_headcount,decision_maker_role,outreach_angle,sequence_version,evidence_tag,notes,week_1_target,week_2_target
Employer,Dell,Austin Metro,Tier 1,High growth / headcount expansion,15000+,VP Talent Acquisition,Entry-level IT infrastructure hiring + pipeline alignment,Sequence 1: Hiring Momentum,Completion rate 98.8% + post-placement outcomes,Strong local footprint; multiple entry-level roles posted monthly,Email 1 by Tue,Follow-up Wed if no reply
Employer,Apple - Austin,Austin Metro,Tier 1,Recent expansion/hiring surge,3000+,Senior HR Manager,Support role pipeline + onboarding efficiency,Sequence 1: Hiring Momentum,Employer reference + completion data,Visible recent job posts for support staff,Email 1 by Wed,Email 2 by Mon (Week 2)
Employer,Capital One,Austin Metro,Tier 1,Active BPO & operations hiring,5000+,Talent Acquisition Director,Entry-level operations + customer service prep,Sequence 1: Hiring Momentum,Salary band evidence + 53 employer placement network,Known high-volume entry-level hiring org,Email 1 by Thu,Follow-up by Wed (Week 2)
Employer,IBM Regional,Austin / Regional,Tier 1,Tech support & operations hiring,2000+,HR Business Partner,IT support / tech certification alignment,Sequence 1: Hiring Momentum,SQL/PMP program outcomes + 152-day completion timeline,Close referral network to historical training center,Warm intro first,Email 1 after intro
Employer,Samsung Austin,Austin Metro,Tier 2,Manufacturing operations + skilled trades,2000+,Operations HR Manager,Entry-level manufacturing & operations prep,Sequence 1: Hiring Momentum,Program volume data (SQL/PMP 259 starts; CSAD 104),Manufacturing focus; entry-level hiring consistent,Email 1 by Fri,Email 2 (Week 2)
Employer,Ascension Central Texas,Austin Metro,Tier 2,Healthcare staffing & administrative roles,5000+,Talent Acquisition Specialist,Admin + customer service pipeline,Sequence 1: Hiring Momentum,63 completer survey + employer outcomes,Healthcare is strong placement vertical; high volume hiring,Email 1 (Week 2),Warm intro if available
Employer,Baylor Scott & White,Austin / Waco,Tier 2,Healthcare operations + back-office,3000+,HR Manager - Staffing,Back-office operations prep + data skills,Sequence 1: Hiring Momentum,Median 152-day program duration (planning-friendly),Large regional employer; consistent entry-level hiring,Email 1 (Week 2),Follow-up Week 2
Employer,Local Austin Tech (Seed/Series A),Austin Metro,Tier 2,High-growth startup hiring,100-500,Founder / Head of People,Scaled hiring + engineering-adjacent support roles,Sequence 3: FOMO / Competitive,Startup growth narrative + fast completion,Growth-minded; open to non-traditional hiring paths,Email 1 mid-Week 1,Email 2 Week 2
Employer,Austin-Based BPO,Austin Metro,Tier 2,High-volume customer support hiring,1000+,Talent Manager,Customer service + soft skills prep,Sequence 1: Hiring Momentum,Email completion data (98.8%) + outcome tracking,High-volume entry-level hiring org,Email 1 Week 2,Follow-up Week 2
Employer,Government Contractor (Austin),Austin Metro,Tier 3,Federal compliance & operations hiring,200-1000,HR Manager,Compliance + ops admin role prep,Sequence 2: Advisory Angle,Government employer reference if available,Lower decision velocity; longer sales cycle,Email 1 Week 2,Follow-up Week 2 / hold for Month 2
