campaign_name,ad_group_name,keyword,match_type,status
free IT certification Austin,IT Cert Austin - Core,free it certification austin,BROAD,PAUSED
free IT certification Austin,IT Cert Austin - Core,it certification austin free,BROAD,PAUSED
free IT certification Austin,IT Cert Austin - Core,free it certification austin,PHRASE,PAUSED
free IT certification Austin,IT Cert Austin - Core,it certification programs austin,PHRASE,PAUSED
free IT certification Austin,IT Cert Austin - Core,free it certification austin,EXACT,PAUSED
free IT certification Austin,IT Cert Austin - Core,it certification austin,EXACT,PAUSED
free IT certification Austin,Google IT Support Austin,google it support austin,BROAD,PAUSED
free IT certification Austin,Google IT Support Austin,it support certificate austin,BROAD,PAUSED
free IT certification Austin,Google IT Support Austin,google it support certificate austin,PHRASE,PAUSED
free IT certification Austin,Google IT Support Austin,it support training austin,PHRASE,PAUSED
free IT certification Austin,Google IT Support Austin,google it support austin,EXACT,PAUSED
free IT certification Austin,Google IT Support Austin,it support cert austin,EXACT,PAUSED
free IT certification Austin,Free Tech Training Austin,free tech training austin,BROAD,PAUSED
free IT certification Austin,Free Tech Training Austin,technology training austin free,BROAD,PAUSED
free IT certification Austin,Free Tech Training Austin,free tech training austin tx,PHRASE,PAUSED
free IT certification Austin,Free Tech Training Austin,free technology classes austin,PHRASE,PAUSED
free IT certification Austin,Free Tech Training Austin,free tech training austin,EXACT,PAUSED
free IT certification Austin,Free Tech Training Austin,free technology training austin,EXACT,PAUSED
career change tech training,Career Change to Tech,career change tech training,BROAD,PAUSED
career change tech training,Career Change to Tech,switch career to technology,BROAD,PAUSED
career change tech training,Career Change to Tech,career change tech training,PHRASE,PAUSED
career change tech training,Career Change to Tech,career change into tech,PHRASE,PAUSED
career change tech training,Career Change to Tech,career change tech training,EXACT,PAUSED
career change tech training,Career Change to Tech,career change to tech,EXACT,PAUSED
career change tech training,Second Career IT,second career it training,BROAD,PAUSED
career change tech training,Second Career IT,midlife career change tech,BROAD,PAUSED
career change tech training,Second Career IT,second career in technology,PHRASE,PAUSED
career change tech training,Second Career IT,career transition tech jobs,PHRASE,PAUSED
career change tech training,Second Career IT,second career it,EXACT,PAUSED
career change tech training,Second Career IT,career change it jobs,EXACT,PAUSED
career change tech training,Retrain for Tech Jobs,retrain for tech jobs,BROAD,PAUSED
career change tech training,Retrain for Tech Jobs,workforce retraining technology,BROAD,PAUSED
career change tech training,Retrain for Tech Jobs,retrain for tech career,PHRASE,PAUSED
career change tech training,Retrain for Tech Jobs,tech job retraining program,PHRASE,PAUSED
career change tech training,Retrain for Tech Jobs,retrain for tech jobs,EXACT,PAUSED
career change tech training,Retrain for Tech Jobs,tech career retraining,EXACT,PAUSED
Google IT certificate free,Google IT Support Certificate,google it certificate free,BROAD,PAUSED
Google IT certificate free,Google IT Support Certificate,google it support certificate free,BROAD,PAUSED
Google IT certificate free,Google IT Support Certificate,google it certificate free,PHRASE,PAUSED
Google IT certificate free,Google IT Support Certificate,free google it support certificate,PHRASE,PAUSED
Google IT certificate free,Google IT Support Certificate,google it certificate free,EXACT,PAUSED
Google IT certificate free,Google IT Support Certificate,google it support certificate,EXACT,PAUSED
Google IT certificate free,Google Career Certificates,google career certificates free,BROAD,PAUSED
Google IT certificate free,Google Career Certificates,google professional certificate free,BROAD,PAUSED
Google IT certificate free,Google Career Certificates,google career certificate program,PHRASE,PAUSED
Google IT certificate free,Google Career Certificates,free google career certificate,PHRASE,PAUSED
Google IT certificate free,Google Career Certificates,google career certificates free,EXACT,PAUSED
Google IT certificate free,Google Career Certificates,google professional certificates,EXACT,PAUSED
Google IT certificate free,Free Google IT Program,free google it program,BROAD,PAUSED
Google IT certificate free,Free Google IT Program,google it training free,BROAD,PAUSED
Google IT certificate free,Free Google IT Program,free google it training program,PHRASE,PAUSED
Google IT certificate free,Free Google IT Program,google it course free,PHRASE,PAUSED
Google IT certificate free,Free Google IT Program,free google it program,EXACT,PAUSED
Google IT certificate free,Free Google IT Program,google it training free,EXACT,PAUSED
WIOA training Texas,WIOA IT Training TX,wioa training texas,BROAD,PAUSED
WIOA training Texas,WIOA IT Training TX,wioa it training texas,BROAD,PAUSED
WIOA training Texas,WIOA IT Training TX,wioa training texas,PHRASE,PAUSED
WIOA training Texas,WIOA IT Training TX,wioa funded training texas,PHRASE,PAUSED
WIOA training Texas,WIOA IT Training TX,wioa training texas,EXACT,PAUSED
WIOA training Texas,WIOA IT Training TX,wioa it training texas,EXACT,PAUSED
WIOA training Texas,WIOA Workforce Programs,wioa workforce training,BROAD,PAUSED
WIOA training Texas,WIOA Workforce Programs,wioa eligible training programs,BROAD,PAUSED
WIOA training Texas,WIOA Workforce Programs,wioa workforce innovation training,PHRASE,PAUSED
WIOA training Texas,WIOA Workforce Programs,wioa approved training programs,PHRASE,PAUSED
WIOA training Texas,WIOA Workforce Programs,wioa workforce training,EXACT,PAUSED
WIOA training Texas,WIOA Workforce Programs,wioa training programs,EXACT,PAUSED
WIOA training Texas,Texas WIOA Tech,texas wioa tech training,BROAD,PAUSED
WIOA training Texas,Texas WIOA Tech,wioa tech programs texas,BROAD,PAUSED
WIOA training Texas,Texas WIOA Tech,texas wioa technology training,PHRASE,PAUSED
WIOA training Texas,Texas WIOA Tech,wioa tech career texas,PHRASE,PAUSED
WIOA training Texas,Texas WIOA Tech,texas wioa tech training,EXACT,PAUSED
WIOA training Texas,Texas WIOA Tech,wioa tech training tx,EXACT,PAUSED
no cost coding bootcamp Austin,Free Coding Bootcamp Austin,no cost coding bootcamp austin,BROAD,PAUSED
no cost coding bootcamp Austin,Free Coding Bootcamp Austin,free coding bootcamp austin,BROAD,PAUSED
no cost coding bootcamp Austin,Free Coding Bootcamp Austin,no cost coding bootcamp austin,PHRASE,PAUSED
no cost coding bootcamp Austin,Free Coding Bootcamp Austin,free coding bootcamp austin tx,PHRASE,PAUSED
no cost coding bootcamp Austin,Free Coding Bootcamp Austin,no cost coding bootcamp austin,EXACT,PAUSED
no cost coding bootcamp Austin,Free Coding Bootcamp Austin,free coding bootcamp austin,EXACT,PAUSED
no cost coding bootcamp Austin,No Cost Bootcamp ATX,no cost bootcamp austin,BROAD,PAUSED
no cost coding bootcamp Austin,No Cost Bootcamp ATX,zero cost coding bootcamp,BROAD,PAUSED
no cost coding bootcamp Austin,No Cost Bootcamp ATX,no cost tech bootcamp austin,PHRASE,PAUSED
no cost coding bootcamp Austin,No Cost Bootcamp ATX,free software bootcamp austin,PHRASE,PAUSED
no cost coding bootcamp Austin,No Cost Bootcamp ATX,no cost bootcamp austin,EXACT,PAUSED
no cost coding bootcamp Austin,No Cost Bootcamp ATX,free bootcamp austin tx,EXACT,PAUSED
no cost coding bootcamp Austin,Austin Tech Bootcamp Free,austin tech bootcamp free,BROAD,PAUSED
no cost coding bootcamp Austin,Austin Tech Bootcamp Free,tech bootcamp austin no cost,BROAD,PAUSED
no cost coding bootcamp Austin,Austin Tech Bootcamp Free,free tech bootcamp austin,PHRASE,PAUSED
no cost coding bootcamp Austin,Austin Tech Bootcamp Free,austin coding school free,PHRASE,PAUSED
no cost coding bootcamp Austin,Austin Tech Bootcamp Free,austin tech bootcamp free,EXACT,PAUSED
no cost coding bootcamp Austin,Austin Tech Bootcamp Free,free tech bootcamp austin,EXACT,PAUSED
