category,file,sheet,column,hit_type,populated_rows,notes
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\1-SQLPMP Completer Survey 2018.xlsx,Sheet1,PLACE OF WORK,employment_outcome,35,Structured post-completion employer field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\1-SQLPMP Completer Survey 2018.xlsx,Sheet1,WORK PHONE,employment_outcome,0,Present but unpopulated in sampled workbook
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\1-SQLPMP Completer Survey 2018.xlsx,Sheet1,TITLE/POSITION,employment_outcome,35,Structured post-completion title field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\1-SQLPMP Completer Survey 2018.xlsx,Sheet1,PAY,salary_outcome,35,Strongest structured compensation field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\2-PMP Completer Survey 2018.xlsx,Sheet1,PLACE OF WORK,employment_outcome,5,Structured post-completion employer field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\2-PMP Completer Survey 2018.xlsx,Sheet1,WORK PHONE,employment_outcome,0,Present but unpopulated in sampled workbook
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\2-PMP Completer Survey 2018.xlsx,Sheet1,TITLE/POSITION,employment_outcome,5,Structured post-completion title field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\2-PMP Completer Survey 2018.xlsx,Sheet1,PAY,salary_outcome,5,Strongest structured compensation field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\3-JAVASQL Completer Survey 2018.xlsx,Sheet1,PLACE OF WORK,employment_outcome,8,Structured post-completion employer field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\3-JAVASQL Completer Survey 2018.xlsx,Sheet1,WORK PHONE,employment_outcome,0,Present but unpopulated in sampled workbook
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\3-JAVASQL Completer Survey 2018.xlsx,Sheet1,TITLE/POSITION,employment_outcome,8,Structured post-completion title field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\3-JAVASQL Completer Survey 2018.xlsx,Sheet1,PAY,salary_outcome,8,Strongest structured compensation field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\4-MCITP Completer Survey 2018.xlsx,Sheet1,PLACE OF WORK,employment_outcome,5,Structured post-completion employer field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\4-MCITP Completer Survey 2018.xlsx,Sheet1,WORK PHONE,employment_outcome,0,Present but unpopulated in sampled workbook
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\4-MCITP Completer Survey 2018.xlsx,Sheet1,TITLE/POSITION,employment_outcome,5,Structured post-completion title field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\4-MCITP Completer Survey 2018.xlsx,Sheet1,PAY,salary_outcome,5,Strongest structured compensation field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\5-MOSCAPM Completer Survey 2018.xlsx,Sheet1,PLACE OF WORK,employment_outcome,5,Structured post-completion employer field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\5-MOSCAPM Completer Survey 2018.xlsx,Sheet1,WORK PHONE,employment_outcome,0,Present but unpopulated in sampled workbook
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\5-MOSCAPM Completer Survey 2018.xlsx,Sheet1,TITLE/POSITION,employment_outcome,5,Structured post-completion title field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\5-MOSCAPM Completer Survey 2018.xlsx,Sheet1,PAY,salary_outcome,5,Strongest structured compensation field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\6-IMDBOS Completer Survey 2018.xlsx,Sheet1,PLACE OF WORK,employment_outcome,3,Structured post-completion employer field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\6-IMDBOS Completer Survey 2018.xlsx,Sheet1,WORK PHONE,employment_outcome,0,Present but unpopulated in sampled workbook
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\6-IMDBOS Completer Survey 2018.xlsx,Sheet1,TITLE/POSITION,employment_outcome,3,Structured post-completion title field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\6-IMDBOS Completer Survey 2018.xlsx,Sheet1,PAY,salary_outcome,3,Strongest structured compensation field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\7-Web Com Manager Completer Survey 2018.xlsx,Sheet1,PLACE OF WORK,employment_outcome,2,Structured post-completion employer field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\7-Web Com Manager Completer Survey 2018.xlsx,Sheet1,WORK PHONE,employment_outcome,0,Present but unpopulated in sampled workbook
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\7-Web Com Manager Completer Survey 2018.xlsx,Sheet1,TITLE/POSITION,employment_outcome,2,Structured post-completion title field
survey_outcome,C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\7-Web Com Manager Completer Survey 2018.xlsx,Sheet1,PAY,salary_outcome,2,Strongest structured compensation field
completion_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 5pm.xlsx,Sheet1,Start,completion_proxy,826,Used for cohort start dates and duration analysis
completion_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 5pm.xlsx,Sheet1,End,completion_proxy,824,Used for completion/end-date proxy analysis
completion_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 5pm.xlsx,Sheet1,Class,program_proxy,830,Used for program mix and cohort trend analysis
contact_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 5pm.xlsx,Sheet1,E-Mail,contactability_proxy,825,Email contactability
contact_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 5pm.xlsx,Sheet1,Phone (Cell),contactability_proxy,802,Phone contactability
admin_pay_not_salary,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 5pm.xlsx,Sheet1,Unnamed: 14,finance_note,217,Contains notes like self pay and should not be used as salary
completion_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx,Sheet1,Start,completion_proxy,799,Used for cohort start dates and duration analysis
completion_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx,Sheet1,End,completion_proxy,797,Used for completion/end-date proxy analysis
completion_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx,Sheet1,Class,program_proxy,799,Used for program mix and cohort trend analysis
contact_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx,Sheet1,E-Mail,contactability_proxy,798,Email contactability
contact_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx,Sheet1,Phone (Cell),contactability_proxy,775,Phone contactability
admin_pay_not_salary,C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx,Sheet1,Unnamed: 14,finance_note,182,Contains notes like self pay and should not be used as salary
prospect_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\Class Rosters 2019-2020\Potential Students January 2019 - Current.xlsx,Sheet1,Phone,contactability_proxy,251,Prospect funnel contactability
prospect_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\Class Rosters 2019-2020\Potential Students January 2019 - Current.xlsx,Sheet1,Email,contactability_proxy,252,Prospect funnel contactability
prospect_proxy,C:\Users\mabro\Downloads\historical-student-data\Office Admin\Class Rosters 2019-2020\Potential Students January 2019 - Current.xlsx,Sheet1,Class,program_proxy,256,Prospect demand by class interest
